cvegeo_inegi,cve_ent,estado,municipio,lat_centroid,lon_centroid,n_fires
01001,1,aguascalientes,aguascalientes,21.831835676042854,-102.28555927367273,293
01002,1,aguascalientes,asientos,22.124931666666665,-102.07701266666665,25
01003,1,aguascalientes,calvillo,21.856554089278752,-102.72246320229048,57
01004,1,aguascalientes,cosa­o,22.346544431111102,-102.3175177244444,5
01005,1,aguascalientes,jesaºs mara­a,21.942711205273067,-102.43040838041428,59
01006,1,aguascalientes,pabella³n de arteaga,22.097197023809525,-102.3487186507937,28
01007,1,aguascalientes,rinca³n de romos,22.223732983333335,-102.3545744212777,50
01008,1,aguascalientes,san josa© de gracia,22.122902237345684,-102.47287616975312,36
01009,1,aguascalientes,tepezala¡,22.207775617283957,-102.1753117283951,9
01010,1,aguascalientes,el llano,21.873880901388887,-102.10113785185182,24
01011,1,aguascalientes,san francisco de los romo,22.004742315555557,-102.21707303888887,60
02001,2,baja california,ensenada,31.733150910424182,-116.30742130637128,647
02002,2,baja california,mexicali,32.13765332888888,-115.3621255333334,5
02003,2,baja california,tecate,32.48258340398382,-116.49176013507625,357
02004,2,baja california,tijuana,32.44603112361111,-116.7991967032828,88
02005,2,baja california,playas de rosarito,32.29256449275363,-116.92212753623194,23
02006,2,baja california,san quinta­n,30.567390690555555,-115.87731274444438,20
03001,3,baja california sur,comondaº,25.094356045751642,-111.70042745098047,17
03002,3,baja california sur,mulega©,27.16297747037038,-112.66047606790123,18
03003,3,baja california sur,la paz,23.828581547089954,-110.25354134920632,42
03008,3,baja california sur,los cabos,23.21022978773946,-109.71063121072801,29
03009,3,baja california sur,loreto,25.94061111111111,-111.35705,1
04001,4,campeche,calkina­,20.45210233448038,-90.3219207029585,17
04002,4,campeche,campeche,19.810512168954254,-90.38728336973857,17
04003,4,campeche,carmen,18.535025091428565,-91.65153553534392,21
04004,4,campeche,champota³n,18.941152598315412,-90.42677365620071,31
04005,4,campeche,hecelchaka¡n,20.159652380952398,-90.33663611111113,7
04006,4,campeche,hopelcha©n,19.214239283864735,-89.30629902864733,46
04007,4,campeche,palizada,18.40729802,-92.06505303055556,22
04008,4,campeche,tenabo,19.972747227777802,-90.3121583222222,2
04009,4,campeche,esca¡rcega,18.686055399462365,-90.34469474286739,31
04010,4,campeche,calakmul,18.45546811641975,-89.46290854543211,36
04011,4,campeche,candelaria,18.118594213333324,-90.43696435175927,12
04012,4,campeche,seybaplaya,19.6624166666667,-90.6516388888889,1
05001,5,coahuila,abasolo,27.19831944444445,-101.3225416666665,2
05002,5,coahuila,acua±a,29.297040779111118,-101.95106899999999,50
05003,5,coahuila,allende,28.32545,-100.893341666667,1
05004,5,coahuila,arteaga,25.34914122627206,-100.66654545586705,107
05005,5,coahuila,candela,26.854804166666668,-100.79824768518525,12
05006,5,coahuila,castaa±os,26.586973181818184,-101.3955808080808,55
05007,5,coahuila,cuatro cia©negas,26.870681613932977,-102.08644274779543,63
05008,5,coahuila,escobedo,27.26277685185188,-101.13712407407404,3
05009,5,coahuila,francisco i. madero,26.590086111111148,-103.21178888888849,2
05011,5,coahuila,general cepeda,25.449758333333335,-101.36234999999999,3
05012,5,coahuila,guerrero,28.3840777777778,-100.480411111111,1
05014,5,coahuila,jima©nez,29.016173736363637,-100.81723563636355,11
05015,5,coahuila,jua¡rez,27.596096527777775,-100.78808819444447,4
05016,5,coahuila,lamadrid,27.04504666666666,-101.79497111111121,5
05018,5,coahuila,monclova,26.917215,-101.28288805555549,10
05020,5,coahuila,maºzquiz,28.291406284573895,-101.8288199460625,103
05021,5,coahuila,nadadores,27.055833045977014,-101.658166762452,29
05023,5,coahuila,ocampo,27.923314594356263,-102.6880341322751,63
05024,5,coahuila,parras,25.36868532222223,-102.10369757142857,7
05026,5,coahuila,progreso,27.286631111111127,-101.04562833333335,5
05027,5,coahuila,ramos arizpe,25.79299629666667,-101.09336777592598,60
05028,5,coahuila,sabinas,27.98474351851853,-101.13556944444433,3
05030,5,coahuila,saltillo,25.250764004811,-101.05982915922104,97
05031,5,coahuila,san buenaventura,27.517569533333337,-101.75020994623645,31
05032,5,coahuila,san juan de sabinas,27.9447222222222,-101.308638888889,1
05033,5,coahuila,san pedro,26.08498027777777,-102.7108566666665,10
05035,5,coahuila,torrea³n,25.1432527777778,-103.256877777778,1
05036,5,coahuila,viesca,25.32295555555555,-103.125745833333,2
05038,5,coahuila,zaragoza,28.950592344173444,-101.63025285636854,41
06001,6,colima,armera­a,19.05589722222221,-104.00946715151537,11
06002,6,colima,colima,19.11011719189189,-103.6927153243243,37
06003,6,colima,comala,19.386425770370373,-103.78520958024694,18
06004,6,colima,coquimatla¡n,19.189089952511413,-103.94143456621008,73
06005,6,colima,cuauhta©moc,19.417530305050516,-103.59119751515153,22
06006,6,colima,ixtlahuaca¡n,19.01279166666666,-103.67964111111121,5
06007,6,colima,manzanillo,19.13924154511559,-104.31544113832959,298
06008,6,colima,minatitla¡n,19.378429655864196,-104.05281518518517,108
06009,6,colima,tecoma¡n,19.005170682304538,-103.81484813168719,27
06010,6,colima,villa de alvarez,19.321515277564103,-103.86809663034182,52
07001,7,chiapas,acacoyagua,15.429026262626273,-92.6152207070707,11
07002,7,chiapas,acala,16.629364237499995,-92.80141597638888,8
07003,7,chiapas,acapetahua,15.186464268627454,-92.7882935174292,51
07004,7,chiapas,altamirano,16.747488145925924,-91.99277888962962,30
07006,7,chiapas,amatenango de la frontera,15.569541061728394,-92.11375587037037,18
07007,7,chiapas,amatenango del valle,16.5075314814815,-92.44004444444447,3
07008,7,chiapas,angel albino corzo,15.827624730864196,-92.68902303882031,81
07009,7,chiapas,arriaga,16.284085612649577,-93.89890319031339,195
07010,7,chiapas,bejucal de ocampo,15.466515277777784,-92.14743750000002,2
07011,7,chiapas,bella vista,15.6522722222222,-92.2329402777778,2
07012,7,chiapas,berrioza¡bal,16.81601616666666,-93.27136414747474,11
07013,7,chiapas,bochil,17.05494888888888,-93.01874556444444,5
07014,7,chiapas,el bosque,17.055311108333314,-92.76712776666666,4
07015,7,chiapas,cacahoata¡n,15.15056944722225,-92.1362486,4
07017,7,chiapas,cintalapa,16.599718314906834,-93.94826643305728,322
07018,7,chiapas,coapilla,17.140601493162393,-93.14439914188034,13
07019,7,chiapas,comita¡n de doma­nguez,16.298763140170937,-92.17026973878205,104
07020,7,chiapas,la concordia,15.946890542878789,-92.83504242520202,220
07021,7,chiapas,copainala¡,17.086750593650795,-93.20157023968254,14
07022,7,chiapas,chalchihuita¡n,16.98243360888888,-92.62193917444444,10
07023,7,chiapas,chamula,16.8169701361111,-92.64303541944443,4
07024,7,chiapas,chanal,16.6318650385621,-92.1910498379085,17
07026,7,chiapas,chenalha³,16.9840833333333,-92.6924166666667,1
07027,7,chiapas,chiapa de corzo,16.67329977267574,-93.01104146791384,98
07029,7,chiapas,chicoasa©n,16.963926106666662,-93.11322666222222,5
07030,7,chiapas,chicomuselo,15.773095785440619,-92.41819243409961,29
07031,7,chiapas,chila³n,17.06873317592593,-92.14452963024691,18
07032,7,chiapas,escuintla,15.407114583333337,-92.54344548611112,8
07034,7,chiapas,frontera comalapa,15.670736574074075,-92.04899652777779,12
07037,7,chiapas,huehueta¡n,14.97054629814815,-92.54587916481483,12
07038,7,chiapas,huixta¡n,16.6790326957265,-92.39681858974359,13
07039,7,chiapas,huitiupa¡n,17.250130555555558,-92.7188259074074,3
07040,7,chiapas,huixtla,15.006375225825826,-92.60628978948948,37
07041,7,chiapas,la independencia,16.190212329166663,-91.83166388680556,16
07044,7,chiapas,ixtapa,16.7926638127421,-92.90505331447503,109
07046,7,chiapas,jiquipilas,16.422352896387643,-93.73789093811659,446
07047,7,chiapas,jitotol,17.07671306830409,-92.86619321836257,95
07049,7,chiapas,larra¡inzar,16.8936111222222,-92.77408335555555,2
07051,7,chiapas,mapastepec,15.358947557912455,-92.9163808077441,33
07052,7,chiapas,las margaritas,16.385878444736846,-91.86018198202021,38
07053,7,chiapas,mazapa de madero,15.374964814814817,-92.20212083333337,6
